Flight miles per year,Video game occupation,Ice-cream consumption,Type
40920,8.326976,0.953952,3
14488,7.153469,1.673904,2
26052,1.441871,0.805124,1
75136,13.147394,0.428964,1
38344,1.669788,0.134296,1
72993,10.141739999999999,1.0329549999999998,1
35948,6.830792,1.213192,3
42666,13.276369,0.54388,3
67497,8.631577,0.749278,1
35483,12.273169000000001,1.508053,3
50242,3.723498,0.831917,1
63275,8.385879,1.6694849999999999,1
5569,4.8754349999999995,0.728658,2
51052,4.680098,0.625224,1
77372,15.299570000000001,0.331351,1
43673,1.889461,0.19128299999999998,1
61364,7.516754,1.269164,1
69673,14.239195,0.261333,1
15669,0.0,1.250185,2
28488,10.528555,1.3048440000000001,3
6487,3.540265,0.822483,2
37708,2.991551,0.8339200000000001,1
22620,5.297865,0.638306,2
28782,6.593803,0.187108,3
19739,2.81676,1.686209,2
36788,12.458258,0.649617,3
5741,0.0,1.656418,2
28567,9.968648,0.731232,3
6808,1.364838,0.640103,2
41611,0.23045300000000002,1.151996,1
36661,11.865402,0.88281,3
43605,0.12046,1.352013,1
15360,8.545204,1.340429,3
63796,5.856649,0.16000599999999998,1
10743,9.665617999999998,0.778626,2
70808,9.778763,1.084103,1
72011,4.932976,0.632026,1
5914,2.216246,0.587095,2
14851,14.305635999999998,0.632317,3
33553,12.591889,0.686581,3
44952,3.4246489999999996,1.004504,1
17934,0.0,0.147573,2
27738,8.533823,0.20532399999999998,3
29290,9.829528,0.23861999999999997,3
42330,11.492186,0.263499,3
36429,3.570968,0.832254,1
39623,1.7712279999999998,0.207612,1
32404,3.513921,0.9918540000000001,1
27268,4.398172,0.975024,1
5477,4.276823,1.174874,2
14254,5.946014,1.614244,2
68613,13.79897,0.724375,1
41539,10.393591,1.6637240000000002,3
7917,3.007577,0.297302,2
21331,1.031938,0.486174,2
8338,4.751212000000001,0.064693,2
5176,3.692269,1.655113,2
18983,10.448091,0.267652,3
68837,10.585786,0.329557,1
13438,1.604501,0.069064,2
48849,3.679497,0.9614659999999999,1
12285,3.795146,0.6966939999999999,2
7826,2.531885,1.659173,2
5565,9.73334,0.9777459999999999,2
10346,6.093067,1.4137979999999999,2
1823,7.712960000000001,1.054927,2
9744,11.470364,0.7604609999999999,3
16857,2.886529,0.934416,2
39336,10.054373,1.1383510000000001,3
65230,9.97247,0.881876,1
2463,2.335785,1.3661450000000002,2
27353,11.375155,1.528626,3
16191,0.0,0.6056189999999999,2
12258,4.126787,0.357501,2
42377,6.319522,1.058602,1
25607,8.680527,0.08695499999999999,3
77450,14.856391,1.129823,1
58732,2.454285,0.22238000000000002,1
46426,7.2922020000000005,0.548607,3
32688,8.745137,0.857348,3
64890,8.579001,0.683048,1
8554,2.507302,0.8691770000000001,2
28861,11.415476,1.505466,3
42050,4.83854,1.6808919999999998,1
32193,10.339507000000001,0.583646,3
64895,6.573742,1.151433,1
2355,6.539397,0.46206499999999995,2
0,2.209159,0.723567,2
70406,11.196378,0.836326,1
57399,4.229595,0.128253,1
41732,9.505944,0.005273,3
11429,8.652725,1.348934,3
75270,17.101108,0.490712,1
5459,7.871839,0.717662,2
73520,8.262131,1.361646,1
40279,9.015635000000001,1.658555,3
21540,9.215351,0.806762,3
17694,6.375007,0.033678,2
22329,2.2620139999999997,1.022169,1
46570,5.67711,0.7094689999999999,1
42403,11.293016999999999,0.20797600000000002,3
33654,6.590043,1.353117,1
9171,4.7119599999999995,0.194167,2
28122,8.768099000000001,1.108041,3
34095,11.502519,0.545097,3
1774,4.682812,0.578112,2
40131,12.446578,0.300754,3
13994,12.908384,1.6577220000000001,3
77064,12.601108,0.974527,1
11210,3.9294559999999996,0.025466,2
6122,9.751503,1.18205,3
15341,3.043767,0.8881680000000001,2
44373,4.391522,0.8071,1
28454,11.695276,0.6790149999999999,3
63771,7.879742,0.154263,1
9217,5.613163,0.933632,2
69076,9.140172,0.8513,1
24489,4.258644,0.20689200000000002,1
16871,6.799831,1.221171,2
39776,8.752758,0.484418,3
5901,1.123033,1.180352,2
40987,10.833248,1.585426,3
7479,3.051618,0.026781,2
38768,5.308408999999999,0.030683,3
4933,1.8417919999999999,0.028099000000000002,2
32311,2.261978,1.6056030000000001,1
26501,11.573696,1.061347,3
37433,8.038764,1.08391,3
23503,10.734007,0.10371500000000002,3
68607,9.661909,0.350772,1
27742,9.00585,0.548737,3
11303,0.0,0.539131,2
0,5.75714,1.062373,2
32729,9.164655999999999,1.624565,3
24619,1.31834,1.436243,1
42414,14.075597,0.695934,3
20210,10.10755,1.308398,3
33225,7.960292999999999,1.21976,3
54483,6.317292,0.018209,1
18475,12.664194,0.595653,3
33926,2.906644,0.581657,1
43865,2.388241,0.9139379999999999,1
26547,6.024471,0.48621499999999995,3
44404,7.226764,1.2553290000000001,3
16674,4.183997,1.27529,2
8123,11.850211,1.096981,3
42747,11.661797,1.167935,3
56054,3.574967,0.494666,1
10933,0.0,0.107475,2
18121,7.937657000000001,0.904799,3
11272,3.3650269999999995,1.0140850000000001,2
16297,0.0,0.367491,2
28168,13.860672000000001,1.2932700000000001,3
40963,10.306714,1.211594,3
31685,7.228002,0.67067,3
